customer_id,fullName,age,latitude,longitude,female,male
1,Nilda Wardlaw,41,32.05015271,34.77602405,1,0
2,Anthony York,74,32.04952585,34.78533981,0,1
3,Cary Paxman,31,32.04873731,34.76937714,0,1
4,Jimmy Kelley,29,32.11928822,34.83741706,0,1
5,Deana Hunsucker,39,32.05346171,34.75272004,1,0
6,Jermaine Longoria,34,32.12416292,34.80310865,0,1
7,Donna Vancamp,43,32.04810303,34.75464910,1,0
8,Santa Stutler,16,32.12086917,34.83236108,1,0
9,Wendy Muniz,28,32.06759236,34.79745875,1,0
10,Marguerite Gran,39,32.10637929,34.79962587,1,0
11,Lucille Noel,40,32.12290200,34.80628475,1,0
12,Samuel Mcabee,23,32.04694749,34.76611704,0,1
13,Stephanie Pumper,26,32.06479657,34.79350329,1,0
14,James Cosselman,15,32.05021314,34.78139126,0,1
15,Anna Evans,37,32.03976564,34.75152796,1,0
16,Arthur Olmos,46,32.04530320,34.80393179,0,1
17,Shannon Woods,39,32.05311666,34.75408302,1,0
18,Armand Hilburn,74,32.06756695,34.79759619,0,1
19,Debbie Livingston,34,32.04789750,34.75971141,1,0
20,Ashley Shuler,42,32.07550317,34.79808263,1,0
21,Catherine Mcguffee,30,32.11013148,34.80225222,1,0
22,Mary Dupuis,19,32.04894417,34.79924445,1,0
23,Crystal Bobo,29,32.05264159,34.75662263,1,0
24,Edward Whipps,32,32.05403799,34.78091603,0,1
25,Kyle Chavous,30,32.11134472,34.82561593,1,0
26,Matthew Davis,31,32.12686876,34.80394706,0,1
27,Patricia Masterson,38,32.11072063,34.81707267,1,0
28,David Steelman,15,32.07767895,34.79870313,0,1
29,Naomi Caicedo,15,32.11190766,34.82280922,1,0
30,Connie Oliver,49,32.03849195,34.74974381,1,0
